Name,ID,Image_num,Used
airplane,n02691156,1434,1
alarm_clock,n02694662,1442,1
ant,n02219486,1656,1
ape,n02470325,1332,1
apple,n07739125,1319,1
armor,n02895154,942,0
axe,n02764044,1254,1
banana,n07753592,1409,1
bat,n02139199,1304,1
bear,n02131653,1688,1
bee,n02206856,1672,1
beetle,n02167151,1077,1
bell,n02824448,1227,1
bench,n02828884,1355,1
bicycle,n02834778,1344,1
blimp,n02850950,1110,1
bread,n07679356,1249,1
butterfly,n02274259,2115,1
cabin,n02932400,1250,1
camel,n02437136,1428,1
candle,n02948072,1789,1
cannon,n02950826,1220,1
car_(sedan),n02958343,1307,1
castle,n02980441,1379,1
cat,n02121620,1485,1
chair,n02738535,1592,1
chicken,n01791625,1210,1
church,n03028079,1329,1
couch,n04256520,1686,1
cow,n01887787,1588,1
crab,n01978287,1214,1
crocodilian,n01697457,1188,1
cup,n03063073,1260,1
deer,n02430045,1680,1
dog,n02103406,1340,1
dolphin,n02068974,1460,1
door,n03222176,1384,1
duck,n01846331,1642,1
elephant,n02503517,1387,1
eyeglasses,n04272054,1280,0
fan,n03271574,1223,1
fish,n01440764,1133,1
flower,n11669921,1924,1
frog,n01639765,1222,1
geyser,n09288635,1585,1
giraffe,n02439033,1256,1
guitar,n02676566,2017,1
hamburger,n07697100,1373,1
hammer,n03481172,1390,1
harp,n03495258,1822,1
hat,n02859184,1319,0
hedgehog,n02346627,1147,1
helicopter,n03512147,1247,1
hermit_crab,n01986214,1430,1
horse,n02374451,1402,1
hot-air_balloon,n02782093,1240,1
hotdog,n07697537,1257,1
hourglass,n03544143,1176,1
jack-o-lantern,n03590841,1712,1
jellyfish,n01910747,1635,1
kangaroo,n01877134,1556,1
knife,n02973904,999,0
lion,n02129165,1795,1
lizard,n01674464,1202,1
lobster,n01983481,1123,1
motorcycle,n03790512,1380,1
mouse,n02330245,1252,1
mushroom,n12997919,1406,1
owl,n01621127,1296,1
parrot,n01816887,1149,1
pear,n07767847,1279,1
penguin,n02055803,1281,1
piano,n03452741,1318,1
pickup_truck,n03930630,1443,1
pig,n02395406,1463,1
pineapple,n07753275,1209,1
pistol,n03948459,1338,1
pizza,n07873807,1289,1
pretzel,n07695742,1263,1
rabbit,n02325366,1280,1
raccoon,n02508021,1722,1
racket,n02772700,1402,0
ray,n01496331,967,1
rhinoceros,n02391994,1496,1
rifle,n02749479,1172,0
rocket,n03773504,1220,1
sailboat,n04128499,1191,1
saw,n02770585,371,0
saxophone,n04141076,1673,0
scissors,n03044934,562,0
scorpion,n01770393,1197,1
sea_turtle,n01663401,1485,1
seagull,n02041246,1413,1
seal,n02076196,1832,1
shark,n01482330,1219,1
sheep,n02411705,1273,1
shoe,n02882894,1381,0
skyscraper,n04233124,1546,1
snail,n01944390,1837,1
snake,n01726692,1289,1
songbird,n01527347,1536,1
spider,n01772222,1249,1
spoon,n03633091,1817,1
squirrel,n02355227,1192,1
starfish,n02317335,1396,1
strawberry,n07745940,1478,1
swan,n01858441,1314,1
sword,n03039493,533,0
table,n03201208,2217,1
tank,n04389033,1488,1
teapot,n04398044,1590,1
teddy_bear,n04399382,0,0
tiger,n02129604,2086,1
tree,n11608250,1148,1
trumpet,n03110669,2092,1
turtle,n01669191,1328,1
umbrella,n04507155,1341,1
violin,n04536866,1330,0
volcano,n09472597,1404,1
wading_bird,n02000954,1178,1
wheelchair,n04576002,1245,0
windmill,n04587404,1899,1
window,n03227184,493,0
wine_bottle,n04591713,1258,1
zebra,n02391049,1474,1
